condition,tau,n_folds,mean_retrieval_entropy_bits_mean,mean_retrieval_entropy_bits_std,mean_top5_probability_mass_mean,mean_top5_probability_mass_std,mean_top10_probability_mass_mean,mean_top10_probability_mass_std,mean_positive_probability_mean,mean_positive_probability_std,mean_free_energy_mean,mean_free_energy_std
Base E5,0.7370595966803845,5,10.626941197044308,1.411415700545526e-05,0.0034811463425858,5.816297178961081e-06,0.0069046903368404,1.1073021347301262e-05,0.0006900608100284,2.563158645576442e-06,-6.196548299405392,0.0011734388643193
Base E5,0.7958860011973389,5,10.627025625705183,1.20799032741436e-05,0.003456397751822,5.3433764973407784e-06,0.0068598279526079,1.018041981201778e-05,0.0006855865363412,2.3582252123808185e-06,-6.629867401918217,0.0011731267989274
Base E5,0.8594074749922435,5,10.627098023404267,1.0340459100571234e-05,0.0034336323016312,4.9118168877549775e-06,0.0068185334202056,9.364783915607926e-06,0.0006814709563317,2.1707388303419432e-06,-7.097774130900814,0.0011728388193999
Base E5,0.9279987422337052,5,10.62716010546394,8.852762083783544e-06,0.0034126806611828,4.517589705169746e-06,0.0067805059329351,8.618768963982932e-06,0.0006776834079392,1.999062276903849e-06,-7.603028748655982,0.0011725729993214
Base E5,1.0020644346793832,5,10.627213342427396,7.580110645718894e-06,0.0033933894314873,4.157115064545557e-06,0.0067454724568646,7.935828231241703e-06,0.0006741961212212,1.8417331561572816e-06,-8.14861183922407,0.0011723275756596
Base E5,1.0820414786687644,5,10.627258995040137,6.491209620576203e-06,0.003375619443962,3.8272044501519766e-06,0.0067131848349837,7.310113523816919e-06,0.0006709839080533,1.6974423848709314e-06,-8.737741891351284,0.001172100933665
Base E5,1.1684016726272652,5,10.627298144219912,5.559362171372634e-06,0.0033592442673492,3.5250116075767646e-06,0.0066834172370038,6.736389747391452e-06,0.0006680238901057,1.565015694761157e-06,-9.373894284901196,0.0011718915933179
Base E5,1.2616544702868049,5,10.627331716736157,4.7617849258797396e-06,0.0033441488940986,3.2479904004233568e-06,0.006655963908039,6.2099612990866745e-06,0.0006652952597356,1.443397680176344e-06,-10.060821792713297,0.0011716981971607
Base E5,1.3623499860415496,5,10.627360507215368,4.079027047849602e-06,0.0033302285817618,2.993858540837087e-06,0.0066306371764155,5.726608474351865e-06,0.0006627790692687,1.3316380005514285e-06,-10.802576718852183,0.001171519499335
Base E5,1.4710822401679415,5,10.627385196999782,3.494477057903982e-06,0.0033173878286385,2.7605662881697327e-06,0.0066072656867309,5.282532378635097e-06,0.0006604580448347,1.2288794124709989e-06,-11.60353480384458,0.001171354355723
