condition,tau,n_folds,mean_retrieval_entropy_bits_mean,mean_retrieval_entropy_bits_std,mean_top5_probability_mass_mean,mean_top5_probability_mass_std,mean_top10_probability_mass_mean,mean_top10_probability_mass_std,mean_positive_probability_mean,mean_positive_probability_std,mean_free_energy_mean,mean_free_energy_std
Base E5,0.8594074749922435,5,10.627098023404267,1.0340459100571234e-05,0.0034336323016312073,4.9118168877549775e-06,0.006818533420205666,9.364783915607926e-06,0.0006814709563317584,2.1707388303419432e-06,-7.097774130900814,0.0011728388193999425
Base E5,0.9279987422337052,5,10.62716010546394,8.852762083783544e-06,0.00341268066118289,4.517589705169746e-06,0.0067805059329351216,8.618768963982932e-06,0.0006776834079392953,1.999062276903849e-06,-7.603028748655982,0.001172572999321413
Base E5,1.0020644346793832,5,10.627213342427396,7.580110645718894e-06,0.003393389431487332,4.157115064545557e-06,0.006745472456864625,7.935828231241703e-06,0.0006741961212212682,1.8417331561572816e-06,-8.14861183922407,0.0011723275756596514
Base E5,1.0820414786687644,5,10.627258995040137,6.491209620576203e-06,0.003375619443962064,3.8272044501519766e-06,0.006713184834983713,7.310113523816919e-06,0.000670983908053347,1.6974423848709314e-06,-8.737741891351284,0.001172100933665061
Base E5,1.1684016726272652,5,10.627298144219912,5.559362171372634e-06,0.0033592442673492776,3.5250116075767646e-06,0.006683417237003826,6.736389747391452e-06,0.0006680238901057481,1.565015694761157e-06,-9.373894284901196,0.0011718915933179956
Base E5,1.2616544702868049,5,10.627331716736157,4.7617849258797396e-06,0.0033441488940986414,3.2479904004233568e-06,0.006655963908039048,6.2099612990866745e-06,0.0006652952597356474,1.4433976801763439e-06,-10.060821792713295,0.0011716981971607863
Base E5,1.3623499860415496,5,10.627360507215368,4.079027047849602e-06,0.0033302285817618156,2.993858540837087e-06,0.0066306371764155905,5.726608474351865e-06,0.0006627790692687269,1.3316380005514283e-06,-10.802576718852183,0.0011715194993350815
Base E5,1.4710822401679415,5,10.627385196999782,3.494477057903982e-06,0.0033173878286385738,2.7605662881697327e-06,0.006607265686730914,5.282532378635097e-06,0.0006604580448347244,1.2288794124709989e-06,-11.60353480384458,0.0011713543557230024
Base E5,1.5884926630531253,5,10.627406370310615,2.993943836356971e-06,0.0033055394660020656,2.546269361633604e-06,0.006585692829211983,4.874307081176034e-06,0.0006583164214986161,1.1343473598295028e-06,-12.468421037924967,0.0011712017150359774
Base E5,1.7152738791038251,5,10.627424528102093,2.565300403320698e-06,0.003294603851818877,2.349305437132415e-06,0.00656577534057015,4.498837952026019e-06,0.0006563397969112617,1.0473408946943839e-06,-13.402337534566618,0.0011710606107679334
Base E5,1.8521737926576034,5,10.62744009993688,2.198180866864276e-06,0.0032845081530549097,2.1681737008075707e-06,0.006547382055049772,4.153325291987105e-06,0.0006545150011076544,9.672247378595812e-07,-14.410793628728523,0.0011709301539125038
Base E5,2.0,5,10.627453454166083,1.883722450081907e-06,0.0032751857054913653,2.0015170163637953e-06,0.006530392787328182,3.835232504874316e-06,0.0006528299804208692,8.934223181833004e-07,-15.499738377372969,0.00117080952636392
Fine-Tuned E5,0.01,5,0.5926121135092418,0.028981514944613162,0.9954524344164307,0.0008893014883100016,0.999408108878019,0.00018904122390602383,0.3262017230101807,0.013646605517862063,-0.5031451623351264,0.009600416525763832
Fine-Tuned E5,0.010798122767574027,5,0.6457527806142294,0.03251210123753534,0.9939887503135919,0.0011550379604528278,0.9991075510645018,0.0002672678045381715,0.325242243332233,0.013552131688573266,-0.503487654992842,0.009585206401044112
Fine-Tuned E5,0.011659945530360058,5,0.7043503428482115,0.03643364669842773,0.9920983188450769,0.0014856330546870618,0.9986687307724171,0.00037543008670306086,0.3240939473595458,0.013437895530436311,-0.5038908470522077,0.009566678318977038
Fine-Tuned E5,0.012590552330005396,5,0.7690706917998564,0.04080406578281304,0.9896733894288987,0.0018928936921057975,0.9980357535152962,0.0005239522594946212,0.32272630413275555,0.01330714749456502,-0.5043659789167688,0.009544163092400453
Fine-Tuned E5,0.013595432977096348,5,0.8406706645562799,0.04569874456709101,0.9865846813731348,0.0023907478543439805,0.9971337523543303,0.0007263878267251407,0.3211040113096191,0.013165452942612805,-0.5049264915454985,0.009516849270757004
Fine-Tuned E5,0.014680515436501082,5,0.9200150125007177,0.05121365665900517,0.9826787498928635,0.0029956735438926175,0.9958639701553386,0.0010000339095084766,0.3191859150057874,0.013021151751473217,-0.5055884835043994,0.009483744451990744
Fine-Tuned E5,0.015852200797460428,5,1.0080981683584613,0.0574672779418538,0.9777754505734343,0.00372703613562535,0.9940981567048912,0.0013664840017053878,0.31692372066719166,0.012885815292770728,-0.5063712718694403,0.009443626302132737
Fine-Tuned E5,0.01711740103472126,5,1.106071667360888,0.06460103887283764,0.9716656212142208,0.004607193277697299,0.9916723983883718,0.0018520189672387526,0.31426054375176676,0.012774625114380215,-0.5072980842606784,0.009394981973526579
