fold,condition,margin
1,Base E5,0.0196238160133361
1,Base E5,0.0274511575698852
1,Base E5,-0.0363651514053344
1,Base E5,0.0082693099975585
1,Base E5,-0.003100037574768
1,Base E5,-0.0004732608795166
1,Base E5,0.0372703075408935
1,Base E5,0.0007012486457824
1,Base E5,0.0427892804145813
1,Base E5,-0.0223522782325744
1,Base E5,-0.0096586346626281
1,Base E5,0.021517276763916
1,Base E5,-0.0059325695037841
1,Base E5,0.0033091306686401
1,Base E5,-0.0136212706565856
1,Base E5,-0.0008302330970764
1,Base E5,-0.0152368545532226
1,Base E5,0.0281491875648498
1,Base E5,0.0289304256439209
1,Base E5,0.0042138695716857
1,Base E5,0.0278379321098327
