fold,condition,score_type,cosine_similarity
1,Base E5,positive_score,0.8742715716362
1,Base E5,positive_score,0.8418322205543518
1,Base E5,positive_score,0.8348578810691833
1,Base E5,positive_score,0.8611177802085876
1,Base E5,positive_score,0.8612968921661377
1,Base E5,positive_score,0.8505404591560364
1,Base E5,positive_score,0.7990410923957825
1,Base E5,positive_score,0.8428098559379578
1,Base E5,positive_score,0.8207228183746338
1,Base E5,positive_score,0.8456211686134338
1,Base E5,positive_score,0.8620520830154419
1,Base E5,positive_score,0.8582738041877747
1,Base E5,positive_score,0.8538952469825745
1,Base E5,positive_score,0.8046082258224487
1,Base E5,positive_score,0.815994143486023
1,Base E5,positive_score,0.840277373790741
1,Base E5,positive_score,0.8170906901359558
1,Base E5,positive_score,0.8511951565742493
1,Base E5,positive_score,0.8408404588699341
1,Base E5,positive_score,0.8366551399230957
1,Base E5,positive_score,0.8143740892410278
1,Base E5,positive_score,0.890776515007019
1,Base E5,positive_score,0.8385635614395142
1,Base E5,positive_score,0.8478111028671265
1,Base E5,positive_score,0.8717503547668457
1,Base E5,positive_score,0.8223053812980652
1,Base E5,positive_score,0.8231142163276672
1,Base E5,positive_score,0.8509691953659058
1,Base E5,positive_score,0.8258516788482666
1,Base E5,positive_score,0.8295958638191223
1,Base E5,positive_score,0.8283113241195679
1,Base E5,positive_score,0.8682708740234375
1,Base E5,positive_score,0.850088894367218
1,Base E5,positive_score,0.8768580555915833
1,Base E5,positive_score,0.81608647108078
1,Base E5,positive_score,0.8381779789924622
1,Base E5,positive_score,0.8353092670440674
1,Base E5,positive_score,0.8664590120315552
1,Base E5,positive_score,0.8501678109169006
1,Base E5,positive_score,0.8628008365631104
1,Base E5,positive_score,0.8558491468429565
1,Base E5,positive_score,0.8478075265884399
1,Base E5,positive_score,0.8370940089225769
1,Base E5,positive_score,0.858304500579834
1,Base E5,positive_score,0.8080404996871948
1,Base E5,positive_score,0.7924066781997681
1,Base E5,positive_score,0.8160010576248169
1,Base E5,positive_score,0.8513438105583191
1,Base E5,positive_score,0.8083736896514893
1,Base E5,positive_score,0.8572766780853271
1,Base E5,positive_score,0.8313528299331665
1,Base E5,positive_score,0.840548574924469
1,Base E5,positive_score,0.8534558415412903
1,Base E5,positive_score,0.8499360084533691
1,Base E5,positive_score,0.8475996851921082
1,Base E5,positive_score,0.8843765258789062
1,Base E5,positive_score,0.8580808043479919
1,Base E5,positive_score,0.8471335768699646
1,Base E5,positive_score,0.8354484438896179
1,Base E5,positive_score,0.836173951625824
1,Base E5,positive_score,0.821872889995575
1,Base E5,positive_score,0.8812684416770935
1,Base E5,positive_score,0.8415501713752747
1,Base E5,positive_score,0.8906500935554504
1,Base E5,positive_score,0.8677030801773071
1,Base E5,positive_score,0.8463327884674072
1,Base E5,positive_score,0.8373452425003052
1,Base E5,positive_score,0.8568745255470276
1,Base E5,positive_score,0.8188256025314331
1,Base E5,positive_score,0.8371559381484985
1,Base E5,positive_score,0.8558204174041748
1,Base E5,positive_score,0.8485444188117981
1,Base E5,positive_score,0.8248828649520874
1,Base E5,positive_score,0.8629597425460815
1,Base E5,positive_score,0.8583973050117493
1,Base E5,positive_score,0.8552277088165283
1,Base E5,positive_score,0.8010815978050232
1,Base E5,positive_score,0.8375858068466187
1,Base E5,positive_score,0.8632973432540894
1,Base E5,positive_score,0.8486684560775757
1,Base E5,positive_score,0.7763879299163818
1,Base E5,positive_score,0.850479781627655
1,Base E5,positive_score,0.8058884739875793
1,Base E5,positive_score,0.8592643141746521
1,Base E5,positive_score,0.851290762424469
1,Base E5,positive_score,0.8729447722434998
1,Base E5,positive_score,0.8695261478424072
1,Base E5,positive_score,0.8733051419258118
1,Base E5,positive_score,0.8410403728485107
1,Base E5,positive_score,0.8288797736167908
1,Base E5,positive_score,0.8278586864471436
1,Base E5,positive_score,0.8529649972915649
1,Base E5,positive_score,0.8534473776817322
1,Base E5,positive_score,0.8088793158531189
1,Base E5,positive_score,0.8229343891143799
1,Base E5,positive_score,0.8802904486656189
1,Base E5,positive_score,0.8040066957473755
1,Base E5,positive_score,0.8173139095306396
1,Base E5,positive_score,0.876740574836731
1,Base E5,positive_score,0.8651766180992126
1,Base E5,positive_score,0.8200874924659729
1,Base E5,positive_score,0.8239138126373291
1,Base E5,positive_score,0.7904433608055115
1,Base E5,positive_score,0.7826902270317078
1,Base E5,positive_score,0.8292019367218018
1,Base E5,positive_score,0.8896483778953552
1,Base E5,positive_score,0.8585002422332764
1,Base E5,positive_score,0.8512699007987976
1,Base E5,positive_score,0.8479231595993042
1,Base E5,positive_score,0.8710590600967407
1,Base E5,positive_score,0.842125654220581
1,Base E5,positive_score,0.859574019908905
1,Base E5,positive_score,0.8198873996734619
1,Base E5,positive_score,0.852285623550415
1,Base E5,positive_score,0.8504727482795715
1,Base E5,positive_score,0.8622833490371704
1,Base E5,positive_score,0.8538991808891296
1,Base E5,positive_score,0.8582837581634521
1,Base E5,positive_score,0.7872205376625061
1,Base E5,positive_score,0.8478235006332397
1,Base E5,positive_score,0.8058671951293945
1,Base E5,positive_score,0.8688558340072632
1,Base E5,positive_score,0.8337295651435852
1,Base E5,positive_score,0.8713895082473755
1,Base E5,positive_score,0.8648476004600525
1,Base E5,positive_score,0.8899011611938477
1,Base E5,positive_score,0.8372249603271484
1,Base E5,positive_score,0.8352223038673401
1,Base E5,positive_score,0.8379290699958801
1,Base E5,positive_score,0.816318929195404
1,Base E5,positive_score,0.8728252053260803
1,Base E5,positive_score,0.902719020843506
1,Base E5,positive_score,0.8498850464820862
1,Base E5,positive_score,0.8614479899406433
